"Experiment","Litter","Exp_date","Img_date","Embryo_ID","Background","Treatment","TE_ICM","Cellcount","Stage","litter.median","icm.count","Gene1","Genotype1","Gene2","Genotype2","Identity.hc","count","pc.icm"
"112415_LM","112415_LM",20151124,20151130,"112415_LM2","CD1/mixed","Littermate","TE",205,">150",176,91,"any","wt","any","wt","TE",114,125.274725274725
"112415_LM","112415_LM",20151124,20151130,"112415_LM4","CD1/mixed","Littermate","ICM",178,">150",176,82,"any","wt","any","wt","PRE",32,39.0243902439024
"112415_LM","112415_LM",20151124,20151130,"112415_LM4","CD1/mixed","Littermate","ICM",178,">150",176,82,"any","wt","any","wt","EPI",13,15.8536585365854
"112415_LM","112415_LM",20151124,20151130,"112415_LM4","CD1/mixed","Littermate","ICM",178,">150",176,82,"any","wt","any","wt","EPI.lo",22,26.8292682926829
"112415_LM","112415_LM",20151124,20151130,"112415_LM4","CD1/mixed","Littermate","ICM",178,">150",176,82,"any","wt","any","wt","DN",15,18.2926829268293
"112415_LM","112415_LM",20151124,20151130,"112415_LM4","CD1/mixed","Littermate","TE",178,">150",176,82,"any","wt","any","wt","TE",96,117.073170731707
"112415_LM","112415_LM",20151124,20151130,"112415_LM5","CD1/mixed","Littermate","ICM",216,">150",176,92,"any","wt","any","wt","PRE",34,36.9565217391304
"112415_LM","112415_LM",20151124,20151130,"112415_LM5","CD1/mixed","Littermate","ICM",216,">150",176,92,"any","wt","any","wt","EPI",2,2.17391304347826
"112415_LM","112415_LM",20151124,20151130,"112415_LM5","CD1/mixed","Littermate","ICM",216,">150",176,92,"any","wt","any","wt","EPI.lo",42,45.6521739130435
"112415_LM","112415_LM",20151124,20151130,"112415_LM5","CD1/mixed","Littermate","ICM",216,">150",176,92,"any","wt","any","wt","DN",14,15.2173913043478
"112415_LM","112415_LM",20151124,20151130,"112415_LM5","CD1/mixed","Littermate","TE",216,">150",176,92,"any","wt","any","wt","TE",124,134.782608695652
"112415_LM","112415_LM",20151124,20151130,"112415_LM6","CD1/mixed","Littermate","ICM",160,">150",176,62,"any","wt","any","wt","PRE",31,50
"112415_LM","112415_LM",20151124,20151130,"112415_LM6","CD1/mixed","Littermate","ICM",160,">150",176,62,"any","wt","any","wt","EPI",18,29.0322580645161
"112415_LM","112415_LM",20151124,20151130,"112415_LM6","CD1/mixed","Littermate","ICM",160,">150",176,62,"any","wt","any","wt","EPI.lo",9,14.5161290322581
"112415_LM","112415_LM",20151124,20151130,"112415_LM6","CD1/mixed","Littermate","ICM",160,">150",176,62,"any","wt","any","wt","DN",4,6.45161290322581
"112415_LM","112415_LM",20151124,20151130,"112415_LM6","CD1/mixed","Littermate","TE",160,">150",176,62,"any","wt","any","wt","TE",98,158.064516129032
"112415_LM","112415_LM",20151124,20151130,"112415_LM7","CD1/mixed","Littermate","ICM",125,"120_150",176,39,"any","wt","any","wt","PRE",28,71.7948717948718
"112415_LM","112415_LM",20151124,20151130,"112415_LM7","CD1/mixed","Littermate","ICM",125,"120_150",176,39,"any","wt","any","wt","EPI",8,20.5128205128205
"112415_LM","112415_LM",20151124,20151130,"112415_LM7","CD1/mixed","Littermate","ICM",125,"120_150",176,39,"any","wt","any","wt","DN",3,7.69230769230769
"112415_LM","112415_LM",20151124,20151130,"112415_LM7","CD1/mixed","Littermate","TE",125,"120_150",176,39,"any","wt","any","wt","TE",86,220.512820512821
"112415_LM","112415_LM",20151124,20151130,"112415_LM8","CD1/mixed","Littermate","ICM",147,"120_150",176,41,"any","wt","any","wt","PRE",29,70.7317073170732
"112415_LM","112415_LM",20151124,20151130,"112415_LM8","CD1/mixed","Littermate","ICM",147,"120_150",176,41,"any","wt","any","wt","EPI",10,24.390243902439
"112415_LM","112415_LM",20151124,20151130,"112415_LM8","CD1/mixed","Littermate","ICM",147,"120_150",176,41,"any","wt","any","wt","DN",2,4.8780487804878
"112415_LM","112415_LM",20151124,20151130,"112415_LM8","CD1/mixed","Littermate","TE",147,"120_150",176,41,"any","wt","any","wt","TE",106,258.536585365854
"112415_LM","112415_LM",20151124,20151130,"112415_LM9","CD1/mixed","Littermate","ICM",149,"120_150",176,42,"any","wt","any","wt","PRE",28,66.6666666666667
"112415_LM","112415_LM",20151124,20151130,"112415_LM9","CD1/mixed","Littermate","ICM",149,"120_150",176,42,"any","wt","any","wt","EPI",14,33.3333333333333
"112415_LM","112415_LM",20151124,20151130,"112415_LM9","CD1/mixed","Littermate","TE",149,"120_150",176,42,"any","wt","any","wt","TE",107,254.761904761905
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb1","CD1/mixed","Littermate","ICM",120,"120_150",135,38,"any","wt","any","wt","PRE",19,50
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb1","CD1/mixed","Littermate","ICM",120,"120_150",135,38,"any","wt","any","wt","EPI",19,50
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb1","CD1/mixed","Littermate","TE",120,"120_150",135,38,"any","wt","any","wt","TE",82,215.789473684211
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb2","CD1/mixed","Littermate","ICM",128,"120_150",135,31,"any","wt","any","wt","PRE",13,41.9354838709677
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb2","CD1/mixed","Littermate","ICM",128,"120_150",135,31,"any","wt","any","wt","DP",6,19.3548387096774
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb2","CD1/mixed","Littermate","ICM",128,"120_150",135,31,"any","wt","any","wt","EPI",12,38.7096774193548
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb2","CD1/mixed","Littermate","TE",128,"120_150",135,31,"any","wt","any","wt","TE",97,312.903225806452
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb3","CD1/mixed","Littermate","ICM",133,"120_150",135,45,"any","wt","any","wt","PRE",14,31.1111111111111
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb3","CD1/mixed","Littermate","ICM",133,"120_150",135,45,"any","wt","any","wt","DP",7,15.5555555555556
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb3","CD1/mixed","Littermate","ICM",133,"120_150",135,45,"any","wt","any","wt","EPI",22,48.8888888888889
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb3","CD1/mixed","Littermate","ICM",133,"120_150",135,45,"any","wt","any","wt","DN",2,4.44444444444444
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb3","CD1/mixed","Littermate","TE",133,"120_150",135,45,"any","wt","any","wt","TE",88,195.555555555556
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb4","CD1/mixed","Littermate","ICM",166,">150",135,78,"any","wt","any","wt","PRE",49,62.8205128205128
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb4","CD1/mixed","Littermate","ICM",166,">150",135,78,"any","wt","any","wt","EPI",2,2.56410256410256
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb4","CD1/mixed","Littermate","ICM",166,">150",135,78,"any","wt","any","wt","DN",27,34.6153846153846
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb4","CD1/mixed","Littermate","TE",166,">150",135,78,"any","wt","any","wt","TE",88,112.820512820513
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb5","CD1/mixed","Littermate","ICM",136,"120_150",135,47,"any","wt","any","wt","PRE",29,61.7021276595745
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb5","CD1/mixed","Littermate","ICM",136,"120_150",135,47,"any","wt","any","wt","DP",2,4.25531914893617
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb5","CD1/mixed","Littermate","ICM",136,"120_150",135,47,"any","wt","any","wt","EPI",16,34.0425531914894
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMb5","CD1/mixed","Littermate","TE",136,"120_150",135,47,"any","wt","any","wt","TE",89,189.36170212766
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB6","CD1/mixed","Littermate","ICM",135,"120_150",135,30,"any","wt","any","wt","PRE",19,63.3333333333333
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB6","CD1/mixed","Littermate","ICM",135,"120_150",135,30,"any","wt","any","wt","EPI",11,36.6666666666667
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB6","CD1/mixed","Littermate","TE",135,"120_150",135,30,"any","wt","any","wt","TE",105,350
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB7","CD1/mixed","Littermate","ICM",200,">150",135,86,"any","wt","any","wt","PRE",55,63.953488372093
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB7","CD1/mixed","Littermate","ICM",200,">150",135,86,"any","wt","any","wt","EPI",24,27.906976744186
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB7","CD1/mixed","Littermate","ICM",200,">150",135,86,"any","wt","any","wt","EPI.lo",3,3.48837209302326
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB7","CD1/mixed","Littermate","ICM",200,">150",135,86,"any","wt","any","wt","DN",4,4.65116279069767
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB7","CD1/mixed","Littermate","TE",200,">150",135,86,"any","wt","any","wt","TE",114,132.558139534884
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB8","CD1/mixed","Littermate","ICM",131,"120_150",135,37,"any","wt","any","wt","PRE",19,51.3513513513513
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB8","CD1/mixed","Littermate","ICM",131,"120_150",135,37,"any","wt","any","wt","DP",2,5.40540540540541
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB8","CD1/mixed","Littermate","ICM",131,"120_150",135,37,"any","wt","any","wt","EPI",16,43.2432432432432
"112415_LMb","112415_LMb",20151124,20151201,"112415_LMB8","CD1/mixed","Littermate","TE",131,"120_150",135,37,"any","wt","any","wt","TE",94,254.054054054054
